10,"('z', 0.9708622470498085)","('ğ', 0.9686499312520027)","('g', 0.9623958319425583)","('t', 0.957786813378334)","('o', 0.9577728398144245)","('s', 0.9565794095396996)","('ş', 0.940595954656601)","('ö', 0.9319703280925751)","('h', 0.9203319698572159)","('v', 0.9170728400349617)","('e', 0.9103880077600479)","('ç', 0.9101713970303535)","('n', 0.9062780439853668)","('c', 0.9055203050374985)","('ü', 0.9021614864468575)","('m', 0.8940815851092339)","('b', 0.8893495351076126)","('y', 0.8813944458961487)","('d', 0.8737759739160538)","('f', 0.8705077767372131)","('p', 0.8693297803401947)","('a', 0.8648975938558578)","('k', 0.8179683089256287)","(',', 0.8106164634227753)","('j', 0.73922199010849)","('r', 0.7384561002254486)","('i', 0.45732223987579346)","('ı', 0.3156197667121887)","('l', 0.0)"
11,"('o', 0.9783859141170979)","('z', 0.9708201661705971)","('g', 0.9679416604340076)","('s', 0.9634597711265087)","('ğ', 0.950113907456398)","('ş', 0.9437981247901917)","('t', 0.9373062551021576)","('n', 0.9225993826985359)","('e', 0.9205294698476791)","('ö', 0.9198450297117233)","('v', 0.9188292473554611)","('m', 0.9111328274011612)","('h', 0.9035799279808998)","('ç', 0.8989433571696281)","('ü', 0.8917025476694107)","('c', 0.8891414776444435)","('d', 0.880510225892067)","('a', 0.8796967640519142)","('y', 0.8757049515843391)","('b', 0.8721171319484711)","('p', 0.868563175201416)","('f', 0.8649861812591553)","(',', 0.8275338560342789)","('k', 0.7998246550559998)","('j', 0.7446086406707764)","('r', 0.7298499047756195)","('i', 0.45502912998199463)","('ı', 0.3224255442619324)","('l', 0.0)"
12,"('e', 0.955386970192194)","('g', 0.9526851363480091)","('o', 0.9519349150359631)","('s', 0.9495902396738529)","('n', 0.9472327083349228)","('z', 0.9354774802923203)","('ş', 0.9278220236301422)","('m', 0.921085000038147)","('t', 0.9189701899886131)","('ğ', 0.9116950929164886)","('h', 0.9108390286564827)","('p', 0.9080095291137695)","('c', 0.907859243452549)","('ç', 0.894498273730278)","('v', 0.8884455114603043)","('b', 0.882538191974163)","('ö', 0.8786510899662971)","('f', 0.8629371523857117)","('y', 0.8603621423244476)","('a', 0.8532617539167404)","('ü', 0.8510324358940125)","('d', 0.8278771489858627)","(',', 0.8251312077045441)","('k', 0.8200883120298386)","('r', 0.7694022953510284)","('j', 0.687049150466919)","('i', 0.45798468589782715)","('ı', 0.33667558431625366)","('l', 0.0)"
13,"('v', 0.9970067949034274)","('y', 0.9466353170573711)","('ş', 0.9370857179164886)","('ç', 0.9351304098963737)","('t', 0.9301007017493248)","('f', 0.9221436679363251)","('ö', 0.9122298583388329)","('o', 0.9116271361708641)","('ğ', 0.9091578051447868)","('m', 0.9083860814571381)","('z', 0.903607688844204)","('g', 0.8975482732057571)","('h', 0.8939096704125404)","('s', 0.8923284336924553)","('c', 0.8904855027794838)","('n', 0.8869003802537918)","('p', 0.8748401254415512)","('ü', 0.8691210895776749)","('e', 0.8611685037612915)","('d', 0.8510409593582153)","('b', 0.8484460860490799)","('a', 0.8207376003265381)","('k', 0.8015192896127701)","(',', 0.774635910987854)","('r', 0.7549913674592972)","('j', 0.7430527210235596)","('i', 0.42440372705459595)","('ı', 0.29222315549850464)","('l', 0.0)"
14,"('m', 0.9821036197245121)","('n', 0.9635973051190376)","('o', 0.935641922056675)","('ş', 0.9299383163452148)","('g', 0.9168241769075394)","('e', 0.9165563359856606)","('s', 0.9153550937771797)","('z', 0.9085107818245888)","('p', 0.9048924073576927)","('v', 0.9043662920594215)","('t', 0.8944592177867889)","('ç', 0.8911921679973602)","('ğ', 0.8821049109101295)","('c', 0.8779059275984764)","('h', 0.8770083338022232)","('f', 0.8752355128526688)","('y', 0.8739566206932068)","('ö', 0.8614759743213654)","('a', 0.8423849195241928)","('b', 0.8385139107704163)","('ü', 0.8291356414556503)","('d', 0.8234876096248627)","(',', 0.8197144716978073)","('k', 0.7831141948699951)","('r', 0.7604671269655228)","('j', 0.6977294385433197)","('i', 0.4413567781448364)","('ı', 0.32705003023147583)","('l', 0.0)"
15,"('i', 0.8796834126114845)","('ı', 0.5935012102127075)","('l', 0.46880197525024414)","(',', 0.26142776012420654)","('a', 0.19795900583267212)","('e', 0.17890292406082153)","('s', 0.16876429319381714)","('g', 0.1611272096633911)","('z', 0.16081088781356812)","('n', 0.13841968774795532)","('o', 0.12857985496520996)","('ğ', 0.12370634078979492)","('b', 0.11313223838806152)","('ş', 0.11128485202789307)","('d', 0.10866886377334595)","('t', 0.10428595542907715)","('j', 0.09807008504867554)","('ü', 0.09347695112228394)","('c', 0.09274113178253174)","('p', 0.0882229208946228)","('h', 0.08554130792617798)","('m', 0.07823210954666138)","('ö', 0.07049190998077393)","('k', 0.06207549571990967)","('ç', 0.06007331609725952)","('v', 0.026781022548675537)","('r', 0.02166682481765747)","('f', 0.018037617206573486)","('y', 0.0)"
16,"('y', 0.9864558754488826)","('f', 0.9673526138067245)","('ç', 0.946868471801281)","('v', 0.9385504573583603)","('t', 0.9054856523871422)","('ş', 0.9052087366580963)","('c', 0.8938450217247009)","('p', 0.8841190561652184)","('h', 0.8794816955924034)","('m', 0.8780561685562134)","('ö', 0.870417594909668)","('ğ', 0.8663965612649918)","('o', 0.8626813143491745)","('z', 0.8588772118091583)","('g', 0.8544201701879501)","('n', 0.8537123948335648)","('s', 0.8487815856933594)","('b', 0.8325611501932144)","('ü', 0.8265355378389359)","('e', 0.8251285403966904)","('k', 0.8121503740549088)","('r', 0.7957791239023209)","('d', 0.7950439155101776)","('a', 0.7662983983755112)","(',', 0.7309270799160004)","('j', 0.6999908983707428)","('i', 0.4102773070335388)","('ı', 0.27315932512283325)","('l', 0.0)"
17,"('o', 0.9943100018426776)","('g', 0.9701706413179636)","('s', 0.9685453549027443)","('z', 0.9606276340782642)","('n', 0.9405490010976791)","('e', 0.9399319440126419)","('ş', 0.933571346104145)","('ğ', 0.9316356182098389)","('m', 0.9221788048744202)","('t', 0.9199793711304665)","('v', 0.9026464596390724)","('ö', 0.9009708315134048)","('h', 0.8975369334220886)","('ç', 0.8860927000641823)","('a', 0.885199174284935)","('c', 0.8836915642023087)","('ü', 0.8768059313297272)","('p', 0.873480424284935)","('d', 0.8690634518861771)","('b', 0.8688269257545471)","('y', 0.8606627732515335)","('f', 0.8535654693841934)","(',', 0.8387608081102371)","('k', 0.795598715543747)","('r', 0.7313047051429749)","('j', 0.729329913854599)","('i', 0.4575875997543335)","('ı', 0.33220475912094116)","('l', 0.0)"
18,"('r', 0.9489946886897087)","('p', 0.8645349889993668)","('c', 0.8386879712343216)","('k', 0.824331134557724)","('ç', 0.8040730655193329)","('f', 0.8009307235479355)","('h', 0.8003804236650467)","('b', 0.7885162681341171)","('t', 0.7822939157485962)","('e', 0.7765360027551651)","('n', 0.7764908075332642)","('ş', 0.775050938129425)","('y', 0.7703108191490173)","('m', 0.7665271162986755)","('g', 0.7606703788042068)","('s', 0.7573345452547073)","('o', 0.7509849965572357)","('z', 0.7505361884832382)","('v', 0.7452692985534668)","('ğ', 0.7428398430347443)","('ö', 0.7192387878894806)","('ü', 0.6878159940242767)","(',', 0.663215309381485)","('a', 0.6582266390323639)","('d', 0.6344651579856873)","('j', 0.5074441432952881)","('i', 0.4256342649459839)","('ı', 0.3010284900665283)","('l', 0.0)"
19,"('o', 0.9490978121757507)","('ğ', 0.9470219574868679)","('g', 0.9449649304151535)","('s', 0.9449255652725697)","('z', 0.9433649815618992)","('ö', 0.9230110719799995)","('ü', 0.919327437877655)","('e', 0.9127274602651596)","('t', 0.9057881310582161)","('h', 0.9007907509803772)","('a', 0.8971885517239571)","('d', 0.896304689347744)","('n', 0.8902024924755096)","('ş', 0.8900270387530327)","('b', 0.8900148198008537)","('v', 0.8759643211960793)","('m', 0.8729748278856277)","('c', 0.8697618097066879)","('ç', 0.8584655374288559)","('y', 0.8333192765712738)","('p', 0.8326416909694672)","(',', 0.8222215175628662)","('f', 0.8187130391597748)","('k', 0.805370882153511)","('j', 0.7424560189247131)","('r', 0.7036678194999695)","('i', 0.46164917945861816)","('ı', 0.33187758922576904)","('l', 0.0)"
